player_name,team,league,model_current_xp_per_90,model_R_A_share_xp_pct,model_R_D_ratio,z_current,z_R_A,z_R_D,blend_65_35_R_A,blend_65_35_R_D,display_current,display_blend_R_A,display_blend_R_D,rank_current,rank_blend_R_A,rank_blend_R_D,gain_blend_R_A,gain_blend_R_D
Nikola Moro,Bologna,Serie A,15.2273,10.082,0.1277,-0.14492050313371307,-0.1895301859710897,-0.12426698252552835,-0.1605338921267949,-0.13769177092084842,5.64740967987947,5.610036159281964,5.6647710264028,26,27,26,-1,0
Pascal Groß,Brighton & Hove Albion,Premier League,15.1493,10.091,0.1278,-0.16458201994375543,-0.18677558447398646,-0.1203122341424674,-0.17234976752933628,-0.14908759491330462,5.60037579120803,5.581874951276213,5.63741780505801,27,28,28,-1,-1
Lamine Camara,AS Monaco,Ligue 1,16.0585,8.179,0.1174,0.06460068625740643,-0.7719753691920141,-0.5316060659808507,-0.22820093314989076,-0.14407167702598356,6.158051879211313,5.450414762781257,5.649446480327337,21,29,27,-8,-6
Mateus Fernandes,West Ham United,Premier League,12.5621,13.178,0.1391,-0.8167394082891659,0.7580527290325791,0.3265743331434688,-0.26556216022655516,-0.41657959878774375,4.3504363413946585,5.3642480120393925,5.034589696752444,33,30,32,3,1
Nadiem Amiri,1. FSV Mainz 05,Bundesliga,13.5399,10.548,0.1379,-0.5702646501242996,-0.046903041787721166,0.279117352546732,-0.3870880872064971,-0.27298094918943855,4.736893651033243,5.096324404231994,5.347328750855143,31,31,31,0,0
Sofyan Amrabat,Real Betis,La Liga,15.9651,5.8,0.1297,0.04105728023102243,-1.5001083649264226,-0.04517201486430067,-0.4983506955740833,0.010877026947659348,6.1005338529326565,4.870993260491776,6.026647665137496,23,32,19,-9,4
Adam Wharton,Crystal Palace,Premier League,12.0878,10.763,0.1203,-0.9362965547379244,0.018901327309755793,-0.4169183628720707,-0.6019772960212363,-0.7545141875848755,4.202885619597687,4.680785072300569,4.437305879454796,37,33,34,4,3
Iñigo Ruiz de Galarreta,Athletic Club,La Liga,12.2963,9.543,0.1067,-0.8837398078803105,-0.35450020896429996,-0.9547641429684185,-0.6985059482597068,-0.9085983251611482,4.2646946127164265,4.521624461956006,4.234875904820126,36,34,38,2,-2
André,Wolverhampton,Premier League,10.8467,11.397,0.1237,-1.2491415356731006,0.21294769943906017,-0.2824569178479837,-0.7374103033838444,-0.9108019194343098,3.922295290852058,4.462433953843597,4.2322835278044,44,35,39,9,5
Maximilian Arnold,VfL Wolfsburg,Bundesliga,12.4336,8.425,0.1213,-0.849130496880069,-0.69668292827118,-0.37737087904145683,-0.7957738478669578,-0.6840146306365548,4.307993376386769,4.378914666147689,4.54439833409473,35,36,33,-1,2
Pathé Ismaël Ciss,Rayo Vallecano,La Liga,12.005,8.442,0.1106,-0.9571680110439692,-0.6914797921099842,-0.8005289560290246,-0.8641771344170744,-0.9023443417887386,4.17962307850463,4.2889112185725065,4.242278234799128,38,37,36,1,2
Moi Gómez,Osasuna,La Liga,11.6716,8.056,0.1177,-1.0412083918704844,-0.8096215896524316,-0.5197418208316668,-0.9601530110941658,-0.8586950920068982,4.093006239332113,4.1763544793100005,4.2958173866984275,39,38,35,1,4
Azzedine Ounahi,Girona FC,La Liga,12.5167,6.59,0.1043,-0.8281834193555238,-1.2583155668473212,-1.0496781041618917,-0.9787296709776527,-0.9057065590377524,4.335226512635209,4.156337114066889,4.238290379312734,34,39,37,-5,-3
Hakon Arnar Haraldsson,Lille,Ligue 1,11.2784,7.747,0.0823,-1.1403226022513655,-0.9041962410529913,-1.9197227484353956,-1.0576783758319346,-1.413112653415776,4.004419397291544,4.077304492918829,3.824024427911805,41,40,43,1,-2
Miguel Román,Celta Vigo,La Liga,12.9098,4.797,0.0959,-0.729094416047476,-1.8070933984369781,-1.3818769683390477,-1.1063940598838018,-0.9575683093495262,4.474848025187709,4.033179078549857,4.179183905799308,32,41,41,-9,-9
Bilal El Khannouss,VfB Stuttgart,Bundesliga,11.5601,5.868,0.0798,-1.0693142780797118,-1.479295820281639,-2.0185914580119304,-1.2128078178503863,-1.4015612910559883,4.066453300088337,3.9480765714299224,3.830062785493464,40,42,42,-2,-2
Nabil Bentaleb,Lille,Ligue 1,10.8915,6.079,0.0795,-1.2378487670437428,-1.4147157185162083,-2.030455703161114,-1.2997522000591057,-1.5152611946848227,3.9301397050640903,3.8889345832905247,3.775722742508516,43,43,44,0,-1
Lucas Gourna-Douath,Le Havre,Ligue 1,11.1062,5.199,0.1178,-1.1837291816704594,-1.6840545315663467,-0.5157870724486053,-1.3588430541340197,-0.9499494434428104,3.9698714741290293,3.8534950759914124,4.18758760211765,42,44,40,-2,2
Ísak Bergmann Jóhannesson,1. FC Köln,Bundesliga,9.2461,7.835,0.0859,-1.6526059434443066,-0.8772623597479775,-1.7773518066451857,-1.3812356891505915,-1.6962669955646144,3.723424832973714,3.840992212062572,3.7093951009011765,45,45,45,0,0
